labels	weights
thi	-0.07266724454741706
book	0.02672081215229795
wa	-0.1413980967949097
one	0.07500207732854618
read	0.220413425142823
movi	0.058643807448416845
like	0.057280975291278374
great	0.9753686451769061
good	0.4125483826353667
veri	0.072029112245395
time	0.07403515928236074
get	-0.04219735298818804
would	-0.31509925986672604
ha	0.011162788583610757
love	0.760014471499608
hi	0.06686298464509745
use	0.06622006950396027
onli	-0.21581342274005355
work	0.0
dont	-0.32167958937417007
make	0.07740334050148984
realli	0.15947001321744167
stori	0.02829678852330563
first	0.16290220875752143
much	-0.23081678475155873
even	-0.2078952005102674
buy	-0.3034646482985804
well	0.4735307008724025
becaus	0.08073314617325651
look	-0.11878358092370536
best	0.8344180421703317
want	-0.09077182881548224
think	0.0
go	-0.03590306901843085
year	0.1922969809167686
cd	0.05169453515281055
film	0.05398658299206286
better	-0.10599609165716557
album	0.1207491138517841
ani	-0.04213561360707741
way	0.12752483551980773
product	0.0006475491463585691
song	0.002088393397583315
see	0.04097413914809504
could	-0.1951980968978522
know	0.041633887233821575
also	0.3921478937654585
thing	0.03330139770945082
charact	-0.18997874984454274
music	0.051454247763487275
mani	-0.08970856808991393
tri	-0.385464802148768
say	0.013158955782577484
littl	0.27998142174551505
im	-0.07322530029533035
review	0.007222857560774634
ever	0.20740404248888353
new	0.0845969927516136
recommend	0.44189901559417233
enjoy	0.6291577454730746
never	-0.06327663746783557
peopl	-0.006460151408671662
bad	-0.7736691984433078
watch	0.0
doe	-0.21544019400783715
back	-0.12325541745951181
play	0.07227272549851185
bought	-0.2128948813985557
give	0.005329710092202506
still	0.23020719683383836
find	0.03092231552185583
dvd	-0.020284244634632104
need	0.0016665620422164345
made	-0.07266671790649194
got	0.004768384952346757
end	0.08307816670436399
disappoint	-1.695448209767342
money	-0.6915453079426106
didnt	-0.34090775024852665
old	-0.022515418271681163
two	-0.24047609089169814
take	0.16732337725497645
come	0.0
interest	0.18745832128891046
put	0.18367736209107113
seem	-0.41023068172109206
day	0.1265654602568552
ive	0.22574375981657127
life	0.317654835853508
thought	-0.13310797621513085
sound	-0.09416621369497123
lot	0.02682508206116495
cant	-0.04909573048788406
everi	0.1820556222134541
purchas	-0.12113905971683449
star	-0.004230974094943021
found	-0.138335240806025
feel	0.10760841957570326
wonder	0.7184616526953114
fan	0.0
befor	-0.1617456013041837
anoth	-0.08700634583751089
qualiti	0.0
start	0.0
write	-0.11803045739395379
someth	-0.28036358879842976
version	-0.3342520888853497
author	-0.4338144687548104
worth	0.35744670893151953
show	0.06028133027756473
wast	-2.0878661492122847
whi	-0.3414122387944234
